Nation,Rank,Points,World Cup Wins,Possession in Group,Possession in Round of 16,Possession in Quarter-final,Possession in Semi-final,Possession in Play-off for third place,Possession in Final,Total Passes in Group,Total Passes in Round of 16,Total Passes in Quarter-final,Total Passes in Semi-final,Total Passes in Play-off for third place,Total Passes in Final,Completed Passes in Group,Completed Passes in Round of 16,Completed Passes in Quarter-final,Completed Passes in Semi-final,Completed Passes in Play-off for third place,Completed Passes in Final,Shot Attempts in Group,Shot Attempts in Round of 16,Shot Attempts in Quarter-final,Shot Attempts in Semi-final,Shot Attempts in Play-off for third place,Shot Attempts in Final,Total Goals in Group,Total Goals in Round of 16,Total Goals in Quarter-final,Total Goals in Semi-final,Total Goals in Play-off for third place,Total Goals in Final,Close Range Goals in Group,Close Range Goals in Round of 16,Close Range Goals in Quarter-final,Close Range Goals in Semi-final,Close Range Goals in Play-off for third place,Close Range Goals in Final,Long Range Goals in Group,Long Range Goals in Round of 16,Long Range Goals in Quarter-final,Long Range Goals in Semi-final,Long Range Goals in Play-off for third place,Long Range Goals in Final,Conceded in Group,Conceded in Round of 16,Conceded in Quarter-final,Conceded in Semi-final,Conceded in Play-off for third place,Conceded in Final,Assists in Group,Assists in Round of 16,Assists in Quarter-final,Assists in Semi-final,Assists in Play-off for third place,Assists in Final,Fouls in Group,Fouls in Round of 16,Fouls in Quarter-final,Fouls in Semi-final,Fouls in Play-off for third place,Fouls in Final,Yellow Cards in Group,Yellow Cards in Round of 16,Yellow Cards in Quarter-final,Yellow Cards in Semi-final,Yellow Cards in Play-off for third place,Yellow Cards in Final,Red Cards in Group,Red Cards in Round of 16,Red Cards in Quarter-final,Red Cards in Semi-final,Red Cards in Play-off for third place,Red Cards in Final,Offsides in Group,Offsides in Round of 16,Offsides in Quarter-final,Offsides in Semi-final,Offsides in Play-off for third place,Offsides in Final,Saves in Group,Saves in Round of 16,Saves in Quarter-final,Saves in Semi-final,Saves in Play-off for third place,Saves in Final,Penalties in Group,Penalties in Round of 16,Penalties in Quarter-final,Penalties in Semi-final,Penalties in Play-off for third place,Penalties in Final,Free Kicks in Group,Free Kicks in Round of 16,Free Kicks in Quarter-final,Free Kicks in Semi-final,Free Kicks in Play-off for third place,Free Kicks in Final,Corners in Group,Corners in Round of 16,Corners in Quarter-final,Corners in Semi-final,Corners in Play-off for third place,Corners in Final,Own Goals in Group,Own Goals in Round of 16,Own Goals in Quarter-final,Own Goals in Semi-final,Own Goals in Play-off for third place,Own Goals in Final,Forced Turnovers in Group,Forced Turnovers in Round of 16,Forced Turnovers in Quarter-final,Forced Turnovers in Semi-final,Forced Turnovers in Play-off for third place,Forced Turnovers in Final,GroupID,Average Possession in Group,Goals Per Game in Group,Total Goals
Brazil,1,1841.3,5,160,47,45,0,0,0,1698,616,695,0,0,0,1515,556,625,0,0,0,52,18,20,0,0,0,3,4,1,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,1,0,0,0,31,8,24,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,15,10,9,0,0,0,0,1,0,0,0,0,44,16,25,0,0,0,25,5,7,0,0,0,0,0,0,0,0,0,211,73,77,0,0,0,G,53.33,1.0,8
Belgium,2,1816.71,0,149,0,0,0,0,0,1779,0,0,0,0,0,1568,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,F,49.67,0.33,1
Argentina,3,1773.88,3,181,53,44,34,0,46,2005,711,603,408,0,648,1807,635,511,344,0,544,44,14,15,10,0,21,5,2,2,3,0,3,4,2,2,3,0,3,1,0,0,0,0,0,2,1,2,0,0,3,4,1,1,1,0,1,33,8,18,15,0,26,2,0,8,2,0,4,0,0,0,0,0,0,12,4,2,1,0,4,12,5,5,12,0,11,1,0,1,1,0,1,50,15,30,6,0,22,22,1,8,2,0,6,0,1,0,0,0,0,176,67,79,85,0,87,C,60.33,1.67,15
France,4,1759.78,2,156,48,36,34,0,40,1873,540,369,358,0,516,1675,481,310,307,0,419,52,16,9,14,0,10,6,3,2,2,0,3,6,3,1,2,0,3,0,0,1,0,0,0,3,1,1,0,0,3,6,3,2,0,0,1,15,10,14,11,0,19,1,1,3,0,0,3,0,0,0,0,0,0,3,3,2,4,0,4,20,11,15,13,0,21,0,0,0,0,0,2,38,8,11,13,0,28,22,7,2,2,0,5,0,0,0,0,0,0,223,71,54,72,0,104,D,52.0,2.0,16
England,5,1728.47,1,181,54,54,0,0,0,1947,597,508,0,0,0,1747,523,453,0,0,0,38,8,14,0,0,0,9,3,1,0,0,0,8,3,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,8,3,0,0,0,0,27,16,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,26,10,9,0,0,0,0,0,1,0,0,0,48,12,14,0,0,0,17,3,5,0,0,0,0,0,0,0,0,0,171,60,49,0,0,0,B,60.33,3.0,13
Spain,7,1715.22,1,208,68,0,0,0,0,2778,1041,0,0,0,0,2560,967,0,0,0,0,38,13,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,27,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,17,6,0,0,0,0,1,0,0,0,0,0,45,20,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,174,66,0,0,0,0,E,69.33,3.0,9
Netherlands,8,1694.51,0,147,33,45,0,0,0,1757,396,651,0,0,0,1565,320,557,0,0,0,24,11,5,0,0,0,5,3,2,0,0,0,4,3,2,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,3,3,2,0,0,0,47,10,30,0,0,0,2,2,8,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,34,18,15,0,0,0,0,0,0,0,0,0,39,8,20,0,0,0,13,4,2,0,0,0,0,0,0,0,0,0,220,101,91,0,0,0,A,49.0,1.67,10
Portugal,9,1676.56,0,163,43,65,0,0,0,1838,461,678,0,0,0,1631,392,592,0,0,0,37,14,11,0,0,0,6,6,0,0,0,0,5,6,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,3,5,0,0,0,0,35,12,9,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,8,3,2,0,0,0,31,10,10,0,0,0,2,0,0,0,0,0,44,13,17,0,0,0,13,6,9,0,0,0,0,0,0,0,0,0,188,71,44,0,0,0,H,54.33,2.0,12
Denmark,10,1666.57,0,159,0,0,0,0,0,1781,0,0,0,0,0,1563,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,D,53.0,0.33,1
Germany,11,1650.21,4,158,0,0,0,0,0,1899,0,0,0,0,0,1685,0,0,0,0,0,67,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,E,52.67,2.0,6
