team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,passes team1,passes team2,passes completed team1,passes completed team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,forced turnovers team1,forced turnovers team2,GroupID,attendance,venue,formation team1,formation team2,total_goals,total_passes,total_fouls,possession win
Qatar,Ecuador,42,50,8,0,2,Group,5,6,2,0,0,2,0,0,0,1,4,2,0,0,15,15,450,480,381,409,0,1,6,5,52,72,A,67372,Al Bayt Stadium,5-3-2,4-4-2,2,790,30,Win
England,Iran,72,19,9,6,2,Group,13,8,2,6,6,2,0,0,6,1,0,2,0,0,9,14,809,224,730,154,0,1,8,13,63,72,B,45334,Khalifa International Stadium,4-2-3-1,5-4-1,8,884,23,Win
Senegal,Netherlands,44,45,11,0,2,Group,14,9,2,0,0,2,0,0,0,1,2,1,0,0,13,13,383,438,313,374,0,0,9,15,63,73,A,41721,Al Thumama Stadium,4-2-3-1,3-4-1-2,2,687,26,Win
United States,Wales,51,39,10,1,1,Group,6,7,1,1,1,1,0,0,1,0,4,2,0,0,15,10,569,409,509,321,0,1,7,7,81,72,B,43418,Ahmed bin Ali Stadium,4-3-3,3-5-2,2,830,25,Draw
Argentina,Saudi Arabia,64,24,12,1,2,Group,14,3,2,1,1,2,0,0,0,1,0,6,0,0,7,21,610,267,529,190,1,0,4,14,65,80,C,88012,Lusail Iconic Stadium,4-4-2,4-1-4-1,3,719,28,Loss
Denmark,Tunisia,55,33,12,0,0,Group,11,11,0,0,0,0,0,0,0,0,2,1,0,0,9,10,594,387,523,302,0,0,11,11,76,73,D,42925,Education City Stadium,3-5-2,3-4-3,0,825,19,Draw
Mexico,Poland,54,31,15,0,0,Group,13,8,0,0,0,0,0,0,0,0,2,1,0,0,14,16,485,322,422,241,0,0,8,15,61,70,C,39369,Stadium 974,4-3-3,4-1-4-1,0,663,30,Draw
France,Australia,56,35,9,4,1,Group,22,4,1,4,4,1,0,0,4,1,0,3,0,0,5,11,734,466,672,399,0,0,4,22,64,56,D,40875,Al Janoub Stadium,4-2-3-1,4-1-4-1,5,1071,16,Win
Morocco,Croatia,32,57,12,0,0,Group,8,6,0,0,0,0,0,0,0,0,1,0,0,0,17,11,360,667,290,592,0,0,7,8,87,58,F,59407,Al Bayt Stadium,4-3-3,4-3-3,0,882,28,Draw
Germany,Japan,65,22,13,1,2,Group,25,10,2,1,1,2,0,0,0,1,0,0,0,0,6,14,820,261,743,207,1,0,12,26,55,87,E,42608,Khalifa International Stadium,4-2-3-1,4-2-3-1,3,950,20,Loss
