Rank,Nation,Points
1,Brazil,1841.3
2,Belgium,1816.71
3,Argentina,1773.88
4,France,1759.78
5,England,1728.47
7,Spain,1715.22
8,Netherlands,1694.51
9,Portugal,1676.56
10,Denmark,1666.57
11,Germany,1650.21
12,Croatia,1645.64
13,Mexico,1644.89
14,Uruguay,1638.71
15,Switzerland,1635.92
16,United States,1627.48
18,Senegal,1584.38
19,Wales,1569.82
20,Iran,1564.61
21,Serbia,1563.62
22,Morocco,1563.5
24,Japan,1559.54
26,Poland,1548.59
28,Korea Republic,1530.3
30,Tunisia,1507.54
31,Costa Rica,1503.59
38,Australia,1488.72
41,Canada,1475
43,Cameroon,1471.44
44,Ecuador,1464.39
50,Qatar,1439.89
51,Saudi Arabia,1437.78
61,Ghana,1393
